('id1', [['皖AE887X', 0.9694879991529113, [372, 479, 648, 552]]], '2019-04-17 17:26:22')
('id2', [['川C66666', 0.973075440937855, [465, 553, 742, 626]]], '2019-04-17 17:26:24')
('id3', [['沪A12L50', 0.9734588691027404, [605, 435, 872, 505]]], '2019-04-17 17:26:25')
('id1', [['皖AE887X', 0.9759125794543768, [369, 479, 649, 554]]], '2019-04-17 17:26:27')
('id2', [['川C66666', 0.9720570615220849, [468, 556, 731, 625]]], '2019-04-17 17:26:28')
('id3', [['沪A12L50', 0.977088161863265, [599, 433, 872, 504]]], '2019-04-17 17:26:30')
('id1', [['皖AE887X', 0.9745843240053732, [373, 481, 645, 552]]], '2019-04-17 17:26:31')
('id2', [['川C66666', 0.9754651444159528, [467, 555, 734, 625]]], '2019-04-17 17:26:33')
('id3', [['沪A12L50', 0.9730989336828454, [599, 432, 881, 507]]], '2019-04-17 17:26:34')
('id1', [['皖AE887X', 0.9764437760486074, [371, 479, 649, 552]]], '2019-04-17 17:26:36')
('id2', [['川C66666', 0.9723059364588664, [469, 554, 740, 625]]], '2019-04-17 17:26:37')
('id3', [['沪A12L50', 0.9672782676422356, [599, 432, 879, 507]]], '2019-04-17 17:26:39')
('id1', [['皖AE887X', 0.976051645605585, [372, 480, 644, 551]]], '2019-04-17 17:26:40')
('id1', [['皖AE887X', 0.9723452244347222, [365, 477, 653, 553]]], '2019-04-17 17:26:45')
('id2', [['川C66666', 0.9711734056334039, [464, 554, 742, 627]]], '2019-04-17 17:26:46')
('id3', [['沪A12L50', 0.9746524435994013, [600, 433, 876, 506]]], '2019-04-17 17:26:48')
('id1', [['皖AE887X', 0.9733799695829574, [369, 478, 649, 553]]], '2019-04-17 17:26:49')
('id2', [['川C66666', 0.9752251676011413, [467, 553, 740, 626]]], '2019-04-17 17:26:51')
('id3', [['沪A12L50', 0.9767784561290165, [600, 434, 873, 505]]], '2019-04-17 17:26:52')
('id1', [['皖AE887X', 0.9694355130057127, [366, 479, 644, 552]]], '2019-04-17 17:26:54')
('id2', [['川C66666', 0.9742120078492637, [472, 556, 732, 625]]], '2019-04-17 17:26:55')
('id3', [['沪A12L50', 0.9750384092191642, [601, 433, 878, 506]]], '2019-04-17 17:26:57')
('id1', [['皖AE887X', 0.9782913156778361, [370, 479, 646, 552]]], '2019-04-17 17:26:58')
('id2', [['川C66666', 0.97242452415712, [468, 556, 736, 626]]], '2019-04-17 17:27:00')
('id3', [['沪A12L50', 0.9726062416891391, [603, 433, 876, 506]]], '2019-04-17 17:27:01')
('id1', [['皖AE887X', 0.9708393812040874, [371, 478, 651, 553]]], '2019-04-17 17:27:03')
('id2', [['川C66666', 0.9750259688783047, [467, 554, 743, 627]]], '2019-04-17 17:27:04')
('id3', [['沪A12L50', 0.9692145926473305, [602, 435, 871, 506]]], '2019-04-17 17:27:06')
('id1', [['皖AE887X', 0.9716534444125196, [369, 480, 642, 553]]], '2019-04-17 17:27:07')
('id2', [['川C66666', 0.9734397274968185, [468, 555, 740, 626]]], '2019-04-17 17:27:09')
('id3', [['沪A12L50', 0.9697425705907433, [602, 435, 869, 505]]], '2019-04-17 17:27:10')
('id1', [['皖AE887X', 0.974817863518549, [370, 479, 647, 552]]], '2019-04-17 17:27:12')
('id2', [['川C66666', 0.9752615945540478, [471, 556, 739, 626]]], '2019-04-17 17:27:13')
('id3', [['沪A12L50', 0.9771359051837294, [599, 432, 880, 507]]], '2019-04-17 17:27:15')
('id1', [['皖AE887X', 0.9778436422208331, [368, 479, 649, 554]]], '2019-04-17 17:27:16')
('id3', [['沪A12L50', 0.9709604637824722, [603, 434, 875, 505]]], '2019-04-17 17:27:19')
('id1', [['皖AE887X', 0.973670031329278, [371, 479, 649, 552]]], '2019-04-17 17:27:21')
('id2', [['川C66666', 0.9739972437991917, [468, 555, 741, 628]]], '2019-04-17 17:27:22')
('id3', [['沪A12L50', 0.9737022093225071, [602, 434, 871, 504]]], '2019-04-17 17:27:24')
('id1', [['皖AE887X', 0.97401129346546, [369, 478, 648, 551]]], '2019-04-17 17:27:25')
('id2', [['川C66666', 0.9731616718289452, [473, 555, 737, 625]]], '2019-04-17 17:27:27')
('id3', [['沪A12L50', 0.9744340606958966, [601, 433, 879, 506]]], '2019-04-17 17:27:28')
('id1', [['皖AE887X', 0.9773587499206429, [371, 480, 638, 550]]], '2019-04-17 17:27:30')
('id2', [['川C66666', 0.9748074497356121, [467, 554, 740, 627]]], '2019-04-17 17:27:31')
('id3', [['沪A12L50', 0.9700232658928851, [604, 434, 873, 504]]], '2019-04-17 17:27:33')
('id1', [['皖AE887X', 0.9715097290990189, [371, 478, 644, 551]]], '2019-04-17 17:27:34')
('id2', [['川C66666', 0.9745172687800019, [471, 557, 733, 626]]], '2019-04-17 17:27:36')
('id3', [['沪A12L50', 0.974970085266354, [600, 433, 876, 506]]], '2019-04-17 17:27:37')
('id1', [['皖AE887X', 0.9746179921147216, [370, 479, 647, 552]]], '2019-04-17 17:27:40')
('id2', [['川C66666', 0.9730594158033599, [461, 553, 741, 628]]], '2019-04-17 17:27:41')
('id3', [['沪A12L50', 0.9719386015480702, [599, 433, 877, 506]]], '2019-04-17 17:27:43')
('id1', [['皖AE887X', 0.972149533870978, [370, 478, 649, 551]]], '2019-04-17 17:27:44')
('id2', [['川C66666', 0.9655564171789379, [473, 556, 735, 625]]], '2019-04-17 17:27:45')
('id3', [['沪A12L50', 0.9728561128749832, [592, 432, 877, 508]]], '2019-04-17 17:27:47')
('id1', [['皖AE887X', 0.9751387408662182, [372, 477, 654, 552]]], '2019-04-17 17:27:49')
('id2', [['川C66666', 0.9750681604518558, [467, 555, 736, 626]]], '2019-04-17 17:27:51')
('id3', [['沪A12L50', 0.9737602131568219, [605, 434, 875, 505]]], '2019-04-17 17:27:52')
('id1', [['皖AE887X', 0.9701579894199741, [369, 481, 641, 552]]], '2019-04-17 17:27:54')
('id2', [['川C66666', 0.9747896705215707, [472, 556, 740, 626]]], '2019-04-17 17:27:55')
('id3', [['沪A12L50', 0.9727546061649321, [601, 432, 878, 505]]], '2019-04-17 17:27:57')
('id1', [['皖AE887X', 0.9737238458085602, [368, 479, 653, 555]]], '2019-04-17 17:27:59')
('id2', [['川C66666', 0.9758525660920381, [477, 556, 738, 625]]], '2019-04-17 17:28:01')
('id3', [['沪A12L50', 0.9733825155527842, [608, 434, 877, 504]]], '2019-04-17 17:28:02')
('id1', [['皖AE887X', 0.9754601631706395, [369, 479, 650, 554]]], '2019-04-17 17:28:04')
('id2', [['川C66666', 0.974878958279443, [468, 556, 737, 626]]], '2019-04-17 17:28:06')
('id3', [['沪A12L50', 0.972781641128812, [605, 432, 881, 505]]], '2019-04-17 17:28:07')
('id1', [['皖AE887X', 0.9779233421458459, [367, 477, 645, 550]]], '2019-04-17 17:28:09')
('id2', [['川C66666', 0.9746292148178377, [461, 554, 742, 629]]], '2019-04-17 17:28:11')
('id3', [['沪A12L50', 0.9672537531033347, [602, 435, 874, 506]]], '2019-04-17 17:28:12')
('id1', [['皖AE887X', 0.9632491980142588, [364, 477, 653, 554]]], '2019-04-17 17:28:14')
('id2', [['川C66666', 0.9737262725690974, [472, 556, 736, 626]]], '2019-04-17 17:28:16')
('id3', [['沪A12L50', 0.9760723624771188, [599, 432, 875, 505]]], '2019-04-17 17:28:17')
('id1', [['皖AE887X', 0.9716451678818452, [371, 480, 639, 550]]], '2019-04-17 17:28:19')
('id2', [['川C66666', 0.9746505447657177, [469, 556, 740, 627]]], '2019-04-17 17:28:21')
('id3', [['沪A12L50', 0.9736171024047182, [597, 433, 876, 508]]], '2019-04-17 17:28:22')
('id1', [['皖AE887X', 0.976184087126274, [370, 478, 652, 553]]], '2019-04-17 17:28:23')
('id2', [['川C66666', 0.9745588643071053, [460, 553, 739, 628]]], '2019-04-17 17:28:25')
